archive_sha256	member	uncompressed_bytes	compressed_bytes	member_timestamp	method
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_ PO_A_IG/	0	0	2025-04-22T13:03:34	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_ PO_A_IG/cpv2022-000.rbfx	702	702	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_ PO_A_IG/cpv2022-001.rbfx	2239	2239	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_ PO_A_IG/cpv2022-002.rbfx	11299	11299	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_ PO_A_IG/cpv2022-003.rbfx	61045541	61045541	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_ PO_A_IG/cpv2022-004.rbfx	119607489	119607489	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_ PO_A_IG/cpv2022-005.rbfx	425890754	425890754	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_ PO_A_IG/cpv2022.rxdb	229847	229847	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VC_PSC/	0	0	2025-04-22T13:03:34	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VC_PSC/cpv2022_col-000.rbfx	702	702	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VC_PSC/cpv2022_col-001.rbfx	2238	2238	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VC_PSC/cpv2022_col-002.rbfx	10403	10403	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VC_PSC/cpv2022_col-003.rbfx	72760	72760	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VC_PSC/cpv2022_col-004.rbfx	440510	440510	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VC_PSC/cpv2022_col.rxdb	81265	81265	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VP/	0	0	2025-04-22T13:03:34	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VP/cpv2022-000.rbfx	702	702	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VP/cpv2022-001.rbfx	2239	2239	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VP/cpv2022-002.rbfx	10663	10663	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VP/cpv2022-003.rbfx	68696	68696	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VP/cpv2022-004.rbfx	827972	827972	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VP/cpv2022-005.rbfx	61173457	61173457	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VP/cpv2022-006.rbfx	119607489	119607489	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VP/cpv2022-007.rbfx	398245380	398245380	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	Base_VP/cpv2022.rxdb	1423033	1423033	2025-04-22T13:03:28	stored
fc72bd93dcf4266a36bd26f23ffee6c3e5afdc3e644e6fe43ee6d433f58b2838	LEEME.txt	955	545	2025-04-22T16:59:30	deflated
